ParticipantID,Store,xPos,yPos
s158,Gym,926.6666,543
s158,Hardware Store,931.3333,243.6667
s158,Music Store,647,494.3333
s158,Pharmacy,365,366.3333
s158,Bakery,329.3333,901
s158,Bank,818.3333,340
s158,Dentist,684.3333,356
s158,Cafe,960.6666,775
s158,Jewelry,985.3333,665.3333
s158,Butcher,365,681.6667
s158,Supermarket,610,1025.333
s158,Bike Shop,838,954.3334
s158,Pizerria,832,651.6667
s158,Toy Store,646.6666,592
s158,Book Store,673,823.3334
s158,Barber,823.3333,535
s158,Boutique,554,714.6667
s158,Gallery,518.6666,887.3334
s158,Pet Store,1022.333,925.3334
