ParticipantID,Store,xPos,yPos
s160,Gym,756,388.6667
s160,Hardware Store,353.3333,618
s160,Music Store,611.3333,214.6667
s160,Pharmacy,595.6666,747.3333
s160,Bakery,1062,1071.667
s160,Bank,431.6666,946
s160,Dentist,807,218.3333
s160,Cafe,581,651.6667
s160,Jewelry,850.6666,664
s160,Butcher,850.6666,761.3333
s160,Supermarket,720.3333,539
s160,Bike Shop,525,530.6666
s160,Pizerria,523.6666,381.3333
s160,Toy Store,612.6666,949
s160,Book Store,757,956.6667
s160,Barber,396,744.3333
s160,Boutique,1050.667,220
s160,Gallery,297.6666,225
s160,Pet Store,941.3333,528.6666
