ParticipantID,Store,xPos,yPos
s153,Gym,291.3333,399
s153,Hardware Store,321,817.3334
s153,Music Store,760.6666,686
s153,Pharmacy,868.6666,232
s153,Bakery,286,266.6667
s153,Bank,1039,232.6667
s153,Dentist,1036.667,503.6667
s153,Cafe,282.3333,521
s153,Jewelry,670.6666,233
s153,Butcher,383,239.3333
s153,Supermarket,543.6666,237
s153,Bike Shop,1040.333,1059
s153,Pizerria,568.6666,693
s153,Toy Store,331,1039.667
s153,Book Store,1043,694.6667
s153,Barber,875,1061.667
s153,Boutique,871,864.3334
s153,Gallery,769.3333,521
s153,Pet Store,640.6666,1057.333
