ParticipantID,Store,xPos,yPos
s149,Gym,445.6666,214
s149,Hardware Store,883.6666,815.6667
s149,Music Store,693.6666,789.6667
s149,Pharmacy,1408.333,800.6667
s149,Bakery,438.3333,920
s149,Bank,264.6666,749
s149,Dentist,911,339.6667
s149,Cafe,597,1023.667
s149,Jewelry,1068.333,1077
s149,Butcher,261.3333,1077
s149,Supermarket,799,342.3333
s149,Bike Shop,581,811.6667
s149,Pizerria,443,509.3333
s149,Toy Store,744.6666,934
s149,Book Store,962,542.6666
s149,Barber,266,213.6667
s149,Boutique,1400,324.5
s149,Gallery,1065,213.3333
s149,Pet Store,695,585.6667
