ParticipantID,Store,xPos,yPos
s151,Gym,972,499.6667
s151,Hardware Store,987.6666,869
s151,Music Store,1061.667,237
s151,Pharmacy,709,798.6667
s151,Bakery,326,433.6667
s151,Bank,749.6666,530
s151,Dentist,957.3333,686
s151,Cafe,485,294.6667
s151,Jewelry,613.3333,667
s151,Butcher,714.6666,444
s151,Supermarket,1003.667,954
s151,Bike Shop,657.3333,953
s151,Pizerria,356.6666,316.6667
s151,Toy Store,666.6666,309
s151,Book Store,364,932.3334
s151,Barber,709.3333,709
s151,Boutique,283,801.6667
s151,Gallery,802,274.6667
s151,Pet Store,902.3333,415
