ParticipantID,Store,xPos,yPos
s152,Gym,423.3333,653
s152,Hardware Store,485,318.3333
s152,Music Store,576.3333,787
s152,Pharmacy,403.3333,536
s152,Bakery,290.3333,840
s152,Bank,489.6666,1008.333
s152,Dentist,727.3333,1010
s152,Cafe,666,509.3333
s152,Jewelry,294.3333,321
s152,Butcher,1025.667,1020
s152,Supermarket,966,328.6667
s152,Bike Shop,394,429.6667
s152,Pizerria,1000,661.3333
s152,Toy Store,1007.333,806
s152,Book Store,840,800.3333
s152,Barber,320,1003.333
s152,Boutique,896.6666,526
s152,Gallery,589.3333,670
s152,Pet Store,637.6666,327
