ParticipantID,Store,xPos,yPos
s157,Gym,659.6666,1002
s157,Hardware Store,775,602.3333
s157,Music Store,651.3333,721
s157,Pharmacy,393.3333,991
s157,Bakery,412.6666,462
s157,Bank,941.6666,551
s157,Dentist,648.3333,538
s157,Cafe,486,288.3333
s157,Jewelry,539.6666,796.3333
s157,Butcher,871,844.3334
s157,Supermarket,791.6666,430
s157,Bike Shop,948,296.6667
s157,Pizerria,985.6666,968
s157,Toy Store,463,658.3333
s157,Book Store,706,294.6667
s157,Barber,598,429.6667
s157,Boutique,337.3333,306
s157,Gallery,871.3333,712
s157,Pet Store,337,788.6667
