ParticipantID,Store,xPos,yPos
s156,Gym,1040.667,225
s156,Hardware Store,685.6666,914
s156,Music Store,700,465.3333
s156,Pharmacy,477,768.6667
s156,Bakery,1039.667,1055
s156,Bank,494.6666,1002
s156,Dentist,851.6666,917.6667
s156,Cafe,820.3333,325
s156,Jewelry,1029.333,484
s156,Butcher,1033,745.6667
s156,Supermarket,466.6666,494.3333
s156,Bike Shop,802.3333,687
s156,Pizerria,619.3333,705
s156,Toy Store,269.3333,225
s156,Book Store,496.6666,231
s156,Barber,272.3333,639.6667
s156,Boutique,277,1064.333
s156,Gallery,282.6666,860.3334
s156,Pet Store,678.3333,320
