ParticipantID,Store,xPos,yPos
s159,Gym,746,417.3333
s159,Hardware Store,699,1075.667
s159,Music Store,578,932.6667
s159,Pharmacy,334.6666,513.6666
s159,Bakery,935,571.3333
s159,Bank,741.6666,687
s159,Dentist,1048.333,803
s159,Cafe,748.6666,838
s159,Jewelry,300.6666,742
s159,Butcher,301.6666,240.6667
s159,Supermarket,679.6666,241.6667
s159,Bike Shop,1072,253
s159,Pizerria,603,496.6667
s159,Toy Store,442.6666,931
s159,Book Store,1041.333,1060
s159,Barber,1061.667,441
s159,Boutique,517.3333,694
s159,Gallery,282.3333,1062
s159,Pet Store,448,219.6667
