ParticipantID,Store,xPos,yPos
s148,Gym,878,399.3333
s148,Hardware Store,338.6666,545.3333
s148,Music Store,505,243
s148,Pharmacy,620.3333,977.3334
s148,Bakery,982.6666,733
s148,Bank,506,471.3333
s148,Dentist,958.3333,526.3333
s148,Cafe,790.6666,1001
s148,Jewelry,477.3333,823
s148,Butcher,347.6666,326
s148,Supermarket,834,810.6667
s148,Bike Shop,328,672.6667
s148,Pizerria,674.3333,305.6667
s148,Toy Store,936.6666,303
s148,Book Store,412,684.6667
s148,Barber,696.3333,569
s148,Boutique,408.3333,943
s148,Gallery,939.3333,1007
s148,Pet Store,760,693.6667
